description,url,sheet,cell
Stats Perform Feed Developer Docs,https://documentation.statsperform.com/,DATA FEED + BUNDLE OVERVIEW,C2
Venues (OT3),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-venues.htm,DATA FEED + BUNDLE OVERVIEW,E10
Team Standings (TM2),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-team-standings.htm,DATA FEED + BUNDLE OVERVIEW,E11
Teams (TM1),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-teams.htm,DATA FEED + BUNDLE OVERVIEW,E14
Squads (TM3),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-squads.htm,DATA FEED + BUNDLE OVERVIEW,E15
Areas (OT4),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-areas.htm,DATA FEED + BUNDLE OVERVIEW,E16
Deletions (DEL),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-deletions.htm,DATA FEED + BUNDLE OVERVIEW,E17
MA2 (basic) - Basic Match Stats,https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-statistics.htm,DATA FEED + BUNDLE OVERVIEW,E18
Match Preview (MA8),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-preview.htm,DATA FEED + BUNDLE OVERVIEW,E19
Soccer Integration Guide,https://documentation.statsperform.com/docs/rh/sddp/Topics/Soccer/soccer-sddp-integration-guide.htm,DATA FEED + BUNDLE OVERVIEW,E2
Live Score (MA1DP),https://documentation.statsperform.com/docs/rh/sddp/Topics/Soccer/sports-data-delta-push-integration-guide-ma1dp.htm,DATA FEED + BUNDLE OVERVIEW,E20
Commentary (MA6),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-commentary.htm,DATA FEED + BUNDLE OVERVIEW,E23
Seasonal Stats (TM4),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-seasonal-stats.htm,DATA FEED + BUNDLE OVERVIEW,E24
Transfers (TM7),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-transfers.htm,DATA FEED + BUNDLE OVERVIEW,E25
Referees (PE3),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-referees.htm,DATA FEED + BUNDLE OVERVIEW,E26
Rankings (PE4),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-rankings.htm,DATA FEED + BUNDLE OVERVIEW,E27
Top Performers (PE6),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-top-performers.htm,DATA FEED + BUNDLE OVERVIEW,E28
Trophies (TM8),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-trophies.htm,DATA FEED + BUNDLE OVERVIEW,E29
Player Career (PE2),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-player-career.htm,DATA FEED + BUNDLE OVERVIEW,E30
Match Stats Data (MA2DP),https://documentation.statsperform.com/docs/rh/sddp/Topics/Soccer/sports-data-delta-push-integration-guide-ma2dp.htm,DATA FEED + BUNDLE OVERVIEW,E31
Match Penalties Preview (MA19),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-penalties-preview.htm,DATA FEED + BUNDLE OVERVIEW,E33
Match Events (MA3),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-events.htm,DATA FEED + BUNDLE OVERVIEW,E34
Pass Matrix And Average Formation (MA4),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-pass-matrix.htm,DATA FEED + BUNDLE OVERVIEW,E35
Possession (MA5),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-possession.htm,DATA FEED + BUNDLE OVERVIEW,E36
Match Events Data (MA3DP),https://documentation.statsperform.com/docs/rh/sddp/Topics/Soccer/sports-data-delta-push-integration-guide-ma3dp.htm,DATA FEED + BUNDLE OVERVIEW,E37
Match Events Aggregated Stats Data (MA18DP),https://documentation.statsperform.com/docs/rh/sddp/Topics/Soccer/sports-data-delta-push-integration-guide-ma18dp.htm,DATA FEED + BUNDLE OVERVIEW,E38
Match Expected Goals (MA12),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-expected-goals.htm,DATA FEED + BUNDLE OVERVIEW,E40
Season Expected Goals (TM9),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-season-expected-goals.htm,DATA FEED + BUNDLE OVERVIEW,E41
Possession Events (MA13),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-possession-events.htm,DATA FEED + BUNDLE OVERVIEW,E42
Player Contract (PE12),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-player-contract.htm,DATA FEED + BUNDLE OVERVIEW,E46
Fixtures And Results (MA1_Detailed),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-fixtures-and-results-detailed.html,DATA FEED + BUNDLE OVERVIEW,E47
Season Power Rankings (TM14),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-season-power-ratings.html,DATA FEED + BUNDLE OVERVIEW,E48
Tournament Simulations (TM11),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-tournament-simulations.htm,DATA FEED + BUNDLE OVERVIEW,E49
Season Simulations (TM12),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-season-simulations.htm,DATA FEED + BUNDLE OVERVIEW,E50
Team and Player Forecast (TM15),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-team-player-forecast.htm,DATA FEED + BUNDLE OVERVIEW,E51
Match Facts (MA9),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-facts.htm,DATA FEED + BUNDLE OVERVIEW,E52
Match Facts All (MA16),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-match-facts-all.htm,DATA FEED + BUNDLE OVERVIEW,E53
NLG Match Preview (MA22),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-nlg-match-preview.htm,DATA FEED + BUNDLE OVERVIEW,E54
NLG Match Recap (MA26),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-nlg-match-recap.htm,DATA FEED + BUNDLE OVERVIEW,E55
NLG Dynamic Player Bios (PE9),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-nlg-dynamic-player-bios.htm,DATA FEED + BUNDLE OVERVIEW,E56
Match Facts Betting (MA15),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-automated-betting-facts.html,DATA FEED + BUNDLE OVERVIEW,E57
Automated Insights (MA23),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-automated-insights.htm,DATA FEED + BUNDLE OVERVIEW,E58
Shape Remote (MA34),https://documentation.statsperform.com/docs/rh/sdapi/Topics/soccer/opta-sdapi-soccer-api-shape-broadcast.html,DATA FEED + BUNDLE OVERVIEW,E59
